Patient ID,Medication,Medication Dose Unit,Medication Dose,Medication Duration,Duration Unit,Visit Date
646-97-9801,dihydrocodeine,mg,60.0,46,Day,2019-01-02
553-27-6047,tramadol HCL,mcg,200000.0,31,Day,2018-01-25
334-30-3080,tramadol,mg,100.0,32,Day,2018-06-04
949-44-5667,gabapentin,mg,600.0,57,Day,2018-10-14
995-42-5426,gabapentin,mg,300.0,2,Week,2018-09-19
308-32-7332,ibuprofen,mg,400.0,32,Day,2018-03-27
368-15-4152,dihydrocodeine-acetaminophin-caff,mg,60.0,54,Day,2019-03-04
659-13-6189,acetaminophen,mg,1000.0,3,Week,2018-09-17
816-42-4301,tramadol,mg,400.0,5,Week,2018-06-28
205-48-4621,gabapentin,mg,300.0,57,Day,2019-03-19
824-15-2201,tramadol HCL,mg,200.0,4,Week,2018-11-24
615-88-3851,gabapentin,mg,300.0,34,Day,2019-12-15
485-48-7112,ibuprofen,mg,200.0,50,Day,2018-08-25
660-17-3633,tramadol HCL,mg,200.0,50,Day,2018-02-27
727-26-2586,tramadol,mg,100.0,30,Day,2018-08-26
207-49-4892,acetaminophen,mg,400.0,56,Day,2019-01-23
172-74-6929,buprenorphine,mcg,150.0,4,Week,2019-05-08
986-86-6584,ibuprofen,mg,400.0,42,Day,2019-04-23
945-93-1854,ibuprofen,mg,200.0,3,Week,2018-09-02
243-89-0245,gabapentin,mg,300.0,29,Day,2019-03-20
828-70-5435,tramadol HCL,mcg,400000.0,39,Day,2019-06-20
939-17-0746,acetaminophen,mg,400.0,1,Month,2019-04-11
181-80-6793,acetaminophen,mg,2500.0,5,Week,2019-01-10
971-57-3896,tramadol HCL,mg,200.0,43,Day,2018-05-16
406-77-1140,ibuprofen,mg,200.0,1,Month,2019-12-12
510-68-8192,tramadol,mg,100.0,3,Week,2019-08-12
112-83-9826,gabapentin,mg,600.0,4,Week,2018-04-15
287-87-4276,buprenorphine,mg,0.6,41,Day,2019-01-02
389-54-5088,gabapentin,mg,300.0,33,Day,2019-08-12
713-19-3371,gabapentin,mg,300.0,59,Day,2018-10-05
450-17-9156,ibuprofen,mg,100.0,32,Day,2018-04-27
600-73-9634,butorphanol,mg,6.0,52,Day,2018-06-30
627-93-0039,tramadol,mg,400.0,48,Day,2018-08-03
129-00-5605,tramadol,mcg,200000.0,5,Week,2019-09-30
893-60-3134,acetaminophen,mg,750.0,5,Week,2018-12-03
258-59-5975,ibuprofen,mg,400.0,4,Week,2019-01-03
275-54-1575,ibuprofen,mg,200.0,4,Week,2019-08-28
756-69-0161,buprenorphine,mcg,150.0,41,Day,2019-12-12
723-70-2220,gabapentin,mg,300.0,5,Week,2018-05-25
852-53-7996,buprenorphine,mg,0.6,3,Week,2018-06-06
441-73-4513,buprenorphine,mcg,300.0,2,Week,2019-12-01
614-22-5512,gabapentin,mg,300.0,56,Day,2019-11-03
173-70-3297,tramadol,mg,200.0,57,Day,2019-07-08
771-21-3343,tramadol HCL,mg,100.0,31,Day,2019-06-29
527-00-3720,gabapentin,mcg,600000.0,55,Day,2019-10-05
426-84-6553,tramadol HCL,mg,200.0,31,Day,2019-08-17
684-56-7016,tramadol,mg,200.0,4,Week,2019-11-08
701-20-0512,butorphanol,mg,6.0,54,Day,2018-01-18
808-38-8661,tramadol HCL,mg,100.0,55,Day,2018-08-13
499-55-8964,ibuprofen,mcg,100000.0,45,Day,2019-06-30
807-23-4805,ibuprofen,mg,100.0,2,Week,2019-01-26
379-18-5008,ibuprofen,mcg,200000.0,2,Week,2018-10-15
361-68-7850,buprenorphine,mg,0.3,2,Week,2019-04-08
406-58-9251,gabapentin,mg,600.0,54,Day,2019-12-15
142-08-4382,tramadol HCL,mg,200.0,1,Month,2019-11-02
366-48-8070,gabapentin,mg,600.0,3,Week,2018-06-13
993-84-5176,tramadol HCL,mg,400.0,1,Month,2019-12-09
664-35-1502,buprenorphine,mg,0.15,4,Week,2019-01-14
454-39-4346,gabapentin,mg,300.0,2,Week,2018-02-13
323-50-4982,gabapentin,mg,300.0,46,Day,2018-05-15
624-53-1141,butorphanol,mg,4.0,2,Week,2019-04-20
441-55-1515,tramadol HCL,mg,100.0,4,Week,2019-03-25
148-72-2083,ibuprofen,mg,200.0,40,Day,2019-01-30
142-21-1794,butorphanol,mg,2.5,45,Day,2019-04-30
774-84-5634,buprenorphine,mcg,300.0,2,Week,2018-03-11
773-27-9899,butorphanol,mg,6.0,45,Day,2019-09-03
568-86-3184,butorphanol,mcg,4000.0,58,Day,2018-12-12
481-61-5586,buprenorphine,mcg,600.0,58,Day,2018-10-19
804-23-4579,tramadol HCL,mg,100.0,2,Week,2018-02-06
884-65-6948,gabapentin,mg,600.0,30,Day,2019-07-23
625-09-2531,dihydrocodeine-acetaminophin-caff,mcg,16000.0,2,Week,2019-05-04
162-97-5540,tramadol,mg,200.0,5,Week,2019-03-17
239-54-3576,tramadol,mcg,100000.0,3,Week,2019-04-15
270-99-6802,gabapentin,mg,600.0,54,Day,2018-11-28
541-98-5933,dihydrocodeine-acetaminophin-caff,mg,16.0,41,Day,2018-03-22
986-24-4625,gabapentin,mg,600.0,30,Day,2018-04-28
882-77-7230,gabapentin,mg,600.0,55,Day,2019-12-22
299-07-6821,gabapentin,mg,300.0,4,Week,2019-02-06
538-21-0362,gabapentin,mcg,300000.0,5,Week,2018-03-24
505-76-1799,ibuprofen,mg,100.0,3,Week,2019-02-14
881-63-3286,tramadol HCL,mg,100.0,41,Day,2019-08-31
742-22-4434,acetaminophen,mcg,750000.0,2,Week,2018-12-21
432-21-7103,dihydrocodeine,mg,16.0,29,Day,2019-02-18
621-92-1815,gabapentin,mcg,600000.0,3,Week,2018-04-19
462-54-1330,tramadol HCL,mg,200.0,3,Week,2019-11-20
470-97-1947,buprenorphine,mcg,150.0,52,Day,2019-08-17
952-76-9507,gabapentin,mg,300.0,52,Day,2019-06-26
193-49-0420,buprenorphine,mg,0.6,33,Day,2019-07-15
542-17-1399,butorphanol,mg,4.0,50,Day,2018-08-28
230-71-3814,gabapentin,mg,300.0,4,Week,2018-11-27
517-33-9348,ibuprofen,mg,200.0,42,Day,2018-09-15
440-61-0968,ibuprofen,mg,400.0,49,Day,2019-08-30
388-69-2875,dihydrocodeine,mg,30.0,44,Day,2018-02-25
904-84-9632,gabapentin,mcg,300000.0,35,Day,2019-05-12
356-45-5827,butorphanol,mg,4.0,5,Week,2018-01-23
922-87-0392,ibuprofen,mcg,400000.0,5,Week,2019-02-04
297-20-9817,acetaminophen,mg,750.0,5,Week,2018-11-04
245-90-4972,gabapentin,mg,300.0,32,Day,2018-09-29
269-45-8743,butorphanol,mg,2.5,50,Day,2018-08-20
431-00-6225,dihydrocodeine,mg,30.0,54,Day,2018-10-23
216-20-9993,dihydrocodeine,mcg,30000.0,59,Day,2019-02-08
603-65-9571,buprenorphine,mg,0.15,57,Day,2019-09-23
940-76-5307,acetaminophen,mg,750.0,3,Week,2019-03-12
744-11-3473,tramadol,mcg,100000.0,46,Day,2019-02-12
971-08-1354,gabapentin,mg,300.0,48,Day,2019-12-03
437-74-9101,gabapentin,mg,600.0,49,Day,2019-12-15
763-77-1793,ibuprofen,mg,200.0,52,Day,2018-12-23
512-75-6600,gabapentin,mg,300.0,30,Day,2017-12-26
841-25-9354,ibuprofen,mg,100.0,58,Day,2018-03-31
945-04-7709,acetaminophen,mg,750.0,47,Day,2019-02-16
649-98-8683,butorphanol,mg,4.0,2,Week,2019-10-10
180-60-7049,dihydrocodeine,mcg,16000.0,56,Day,2019-07-11
414-38-1776,tramadol HCL,mg,400.0,41,Day,2019-03-31
133-80-7437,ibuprofen,mg,400.0,38,Day,2018-03-16
960-00-4950,butorphanol,mg,6.0,36,Day,2019-04-14
295-40-3711,gabapentin,mcg,600000.0,2,Week,2019-01-17
796-91-9287,gabapentin,mg,300.0,34,Day,2018-11-01
767-74-3439,gabapentin,mg,300.0,4,Week,2019-07-17
492-94-3218,gabapentin,mg,300.0,53,Day,2019-10-10
315-59-3626,tramadol HCL,mg,400.0,44,Day,2018-12-05
224-35-0888,acetaminophen,mg,1000.0,4,Week,2018-02-12
440-77-8544,gabapentin,mg,300.0,44,Day,2018-08-11
746-58-3904,butorphanol,mg,6.0,1,Month,2019-03-01
424-93-9384,ibuprofen,mg,200.0,39,Day,2018-08-25
682-65-2600,gabapentin,mg,300.0,29,Day,2018-07-07
151-18-0889,ibuprofen,mg,200.0,5,Week,2019-12-01
588-80-6682,ibuprofen,mcg,100000.0,53,Day,2018-07-24
278-99-9630,acetaminophen,mg,400.0,28,Day,2019-07-27
550-92-8654,acetaminophen,mg,750.0,29,Day,2019-05-26
116-52-7839,ibuprofen,mcg,400000.0,3,Week,2019-07-22
439-97-0293,dihydrocodeine-acetaminophin-caff,mg,16.0,50,Day,2018-09-11
673-43-2296,ibuprofen,mg,400.0,54,Day,2019-04-15
455-39-2598,butorphanol,mcg,6000.0,46,Day,2018-11-15
421-89-9900,dihydrocodeine,mg,30.0,3,Week,2018-02-21
413-69-3192,gabapentin,mcg,600000.0,4,Week,2018-03-21
733-96-3776,tramadol HCL,mcg,100000.0,5,Week,2019-07-11
793-63-5600,buprenorphine,mcg,600.0,52,Day,2018-05-21
679-22-0028,tramadol,mg,200.0,58,Day,2018-11-17
